time_s,I_rms_A,mmf_At,Phi_core_Wb,Phi_gap_Wb,Phi_leak_Wb,B_core_T,B_gap_T,H_core_A_m,H_gap_A_m,Vm_core_At,Vm_gap_At,U_exc_induced_V_rms,U_meas_induced_signed_V_rms,Phi_gap_over_Phi_core
0.81,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.815,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.82,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.825,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.83,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.835,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.84,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.845,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.85,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.855,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
