"time","A1","AI_101","A2","AI_102","LT_101_mA","LT_102_mA","captureTransferDone","der(h1)","der(h2)","der(waitTimer)","h1","h1_high","h1_init","h1_low","h2","h2_at_transfer_end","h2_init","levelHigh","h2_low","levelT1Low","levelT2Low","mode","plc_scan","q1","q3","qDrain","q12","qFill","qTransfer","resumeMode","scanTick","shutCmd1","shutPulse","shutPulse1","startCmd1","startCmd2","startPulse","startPulse1","state_is_IDLE","startPulse2","state_is_PAUSED","state_is_SHUTDOWN","stopCmd1","stopCmd2","stopPulse","stopPulse1","stopPulse2","tShut1","tStart1","tStart2","tStop1","tStop2","u1_cmd","u1","u2","u2_cmd","u3","u3_cmd","waitDone","waitTimer","wait_after_drain","wait_after_fill","wait_after_transfer"
0.7,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
0.7,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
0.8,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
0.8,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
0.9,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
0.9,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
1,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
1,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
1.1,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
1.1,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
1.2,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
1.2,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
1.3,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
1.3,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
1.4,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
1.4,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
1.5,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
1.5,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
1.6,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
1.6,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
1.7,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
1.7,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
1.8,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
1.8,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
1.9,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
1.9,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
2,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
2,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
2.1,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
2.1,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
2.2,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
2.2,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
2.3,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
2.3,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
2.4,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
2.4,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
2.5,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
2.5,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
2.6,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
2.6,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
2.7,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
2.7,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
2.8,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
2.8,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
2.9,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
2.9,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
3,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
3,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
3.1,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
3.1,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
3.2,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
3.2,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
3.3,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
3.3,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
3.4,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
3.4,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
3.5,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
3.5,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
3.6,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
3.6,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
3.7,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
3.7,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
3.8,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
3.8,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
3.9,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
3.9,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
4,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
4,1.2,0.05,1.4,0.05,4.8,4.8,0,0,0,0,0.05,0.8,50,50,0.05,0.05,50,0,50,1,1,1,0.1,0,0,0.005,0,0.006,0.0045,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700,20,280,220,650,0,0,0,0,0,0,1,0,8,10,12
